id,name,heights,floors,latitude,longitude,status,end_year,start_year,notes,material,uses
34,30 Rockefeller Plaza,259.1,70,40.75899124,-73.97939301,completed,1933,1931,"Also known as the Comcast Building, formerly known as the GE Building, and the RCA Building before that; colloquially referred to as ""30 Rock"" for its address, houses NBC Studios and the Top of the Rock observation deck.",steel,office
35,One Manhattan Square,258,68,40.71046829,-73.99124146,completed,2019,2015,Topped out in September 2017. Also known as 250 South Street or 227 Cherry Street.,concrete,residential
36,Sutton Tower,258,65,40.758291,-73.961256,completed,2022,2016,"Residential tower rising in Sutton Place, also known as 3 Sutton Place.",concrete,residential
37,56 Leonard Street,250.2,57,40.71760941,-74.0063324,completed,2016,2008,The tallest structure in Tribeca.,concrete,residential
38,CitySpire,248.1,75,40.7641983,-73.97969818,completed,1987,1974,Was NYC's tallest mixed-use building at the time of its completion.,concrete,office
39,28 Liberty Street,247.8,60,40.70782089,-74.00904846,completed,1961,1957,Known until sale in 2015 as One Chase Manhattan Plaza.,steel,office
40,4 Times Square,246.5,48,40.75593948,-73.9858017,completed,1999,1996,Height is 809 feet to mast structure. Roof height is 701 feet. Antenna height is 1118 feet. Formerly known as the Cond?? Nast Building.,steel,office
41,MetLife Building,246.3,59,40.75342178,-73.97666931,completed,1963,1960,Formerly known as the Pan Am Building.,steel,office
42,Bloomberg Tower (731 Lexington Avenue),245.6,54,40.76174164,-73.96798706,completed,2004,2000,"It houses the headquarters of Bloomberg L.P. and as a result, is sometimes referred to informally as Bloomberg Tower.",concrete/steel,office
43,126 Madison Avenue,245,56,40.74566,-73.98516,completed,2021,2017,"Also known as Madison House, topped out in June 2019.",,office
44,138 East 50th Street,245,64,40.7559,-73.9719,completed,2019,2015,Topped out in November 2017. Also known as The Centrale.,,residential
45,130 William Street,244,61,40.70645,-74.00765,completed,2022,2018,Topped out in May 2019.,,residential
46,Woolworth Building,241.4,57,40.7123909,-74.0082016,completed,1913,1910,Tallest building in the world from 1913 until 1930. Was the tallest building in New York City before being surpassed by 40 Wall Street.,steel,office
47,111 Murray Street,240,60,40.71555,-74.01275,completed,2018,2014,Completed in 2018.,concrete,residential
48,520 Park Avenue,237.9,54,40.76369858,-73.97029877,completed,2018,2015,Topped out in April 2017.,concrete,residential
49,50 West Street,237,64,40.708,-74.01505,completed,2018,2014,Topped out in October 2015.,,residential
50,55 Hudson Yards,237,51,40.755556,-74.002778,completed,2018,2014,Topped out in April 2017.,,office
51,One Worldwide Plaza,237,47,40.76222992,-73.98695374,completed,1989,1986,Commercial office tower on Eighth Avenue,steel,office
52,Madison Square Park Tower,237,64,40.70772171,-74.01506042,completed,2017,2008,Topped out in May 2016.,concrete,residential
53,Skyline Tower,233,67,40.7505,-73.9362,completed,2021,2016,"The tallest building in Queens, and the second tallest in the outer boroughs. Topped out in October 2019.",,residential
54,19 Dutch,231,63,40.7098,-74.0096,completed,2018,2014,Also called 118 Fulton Street. Topped out in May 2016.,,residential
55,Carnegie Hall Tower,230.7,60,40.76480865,-73.97962952,completed,1991,1988,The main shaft is a mere 50 feet (15?m) wide.,concrete,office
56,383 Madison Avenue,230.3,47,40.75553894,-73.9766922,completed,2001,1999,Formerly known as Bear Stearns World Headquarters.,steel,office
57,Queens Plaza Park,230,67,40.750063,-73.936507,completed,2021,2015,Second tallest building in Queens after Skyline Tower. Topped out in June 2020.,,residential
58,1717 Broadway (Courtyard & Residence Inn Manhattan/Central Park),229.6,67,40.76435852,-73.98271179,completed,2013,2011,It houses the Courtyard & Residence Inn Manhattan/Central Park hotel. Tallest hotel in the Western Hemisphere.,concrete,hybrid
59,AXA Equitable Center,229.2,51,40.76171875,-73.98184204,completed,1985,1981,Formerly known as the Equitable Building and Equitable Center West.,steel,office
60,1251 Avenue of the Americas,228.6,54,40.75997925,-73.98156738,completed,1972,1967,Formerly known as the Exxon Building.,steel,office
61,One Penn Plaza,228.6,57,40.75128174,-73.99236298,completed,1972,1967,Tallest building in the Penn Plaza complex.,steel,office
62,Time Warner Center North Tower,228.3,55,40.76893997,-73.98310852,completed,2004,2000,Originally constructed as the AOL Time Warner Center; in 2021 the complex was renamed the Deutsche Bank Center.,concrete/steel,residential
63,Time Warner Center South Tower,228.3,55,40.76831818,-73.98313904,completed,2004,2000,Originally constructed as the AOL Time Warner Center; in 2021 the complex was renamed the Deutsche Bank Center.,concrete/steel,residential
64,Goldman Sachs Headquarters (200 West Street),228.3,44,40.71479034,-74.01437378,completed,2010,2005,Also known as Goldman Sachs World Headquarters.,steel,office
65,One Astor Plaza,227.1,54,40.75790024,-73.98645782,completed,1972,1968,Located on the site formerly occupied by the Hotel Astor. Houses the world headquarters of Paramount Global.,composite,office
66,60 Wall Street,227.1,55,40.70611954,-74.00849915,completed,1989,1988,Also known as Deutsche Bank Building.,steel,office
67,One Liberty Plaza,226.5,54,40.70985031,-74.0109024,completed,1972,1968,Formerly known as the U.S. Steel Building.,steel,office
68,7 World Trade Center,226,49,40.71332169,-74.01213837,completed,2006,2002,First tower in the new World Trade Center complex to be completed.,steel/concrete,office
69,20 Exchange Place,225.9,57,40.70544052,-74.0096817,completed,1931,1929,"Formerly known as the City Bank-Farmers Trust Building. Was 4th tallest building in NY when it was finished, behind Chrysler, 40 Wall, and Woolworth Bldgs.",steel,office
70,Three World Financial Center (200 Vesey Street),225.2,51,40.71353912,-74.01502228,completed,1986,1985,Formerly known as Three World Financial Center and American Express Tower.,steel,office
71,ARO (242 W 53rd Street),225,54,40.76365,-73.98409,completed,2018,2015,Topped out in June 2017. Also known as 242 West 53rd Street and Roseland Tower.,,residential
72,1540 Broadway,223,42,40.758135,-73.984853,completed,1990,1988,Also known as Bertelsmann Building.,,office
73,The Eugene (435 W 31st Street),221,64,40.7519,-73.9979,completed,2017,2014,Topped out in April 2016.,,residential
74,Times Square Tower,221,47,40.75558853,-73.98692322,completed,2004,2001,,steel,office
75,Brooklyn Point,220.3,57,40.6903,-73.9822,completed,2020,2011,"Topped-out in April 2019, it is the second tallest building in the borough of Brooklyn.",concrete,residential
76,Metropolitan Tower,218.2,68,40.76475143,-73.97931671,completed,1985,1981,"Immediately adjacent to Carnegie Hall Tower, separated by the Russian Tea Room.",concrete,residential
77,252 East 57th Street,217.9,65,40.7591095,-73.96589661,completed,2017,2014,Topped out in October 2015. Completed in 2017.,concrete,residential
78,Selene (100 East 53rd Street),217.9,61,40.75827026,-73.97145844,completed,2017,2008,Topped out in January 2016.,concrete,residential
79,JPMorgan Chase Tower,215.5,52,40.75579834,-73.97557068,demolished,1960,1957,"270 Park Avenue, also known as the JPMorgan Chase Building, is a skyscraper under construction in the Midtown Manhattan neighborhood of New York City. Designed by the firm of Foster + Partners, the tower is expected to rise up to 1,388 feet (423 m) when it is completed in 2025.",steel,office
80,General Motors Building,214.9,50,40.76359177,-73.97228241,completed,1968,1964,Occupies a full city block.,steel,office
81,25 Park Row,214,54,40.711361,-74.007306,completed,2020,2017,Also known as 23 Park Row.,,residential
82,Metropolitan Life Tower,213.4,50,40.7412796,-73.98738098,completed,1909,1907,Tallest building in the world from 1909 until 1913. Was the tallest building in New York City before being surpassed by the Woolworth Building.,steel,office
83,500 Fifth Avenue,212.4,59,40.75389099,-73.98104858,completed,1931,1930,Became a city landmark in 2010.,steel,office
84,601 West 29th Street,212,58,40.7529,-74.0045,completed,2022,2018,Topped out. Received construction financing in June 2019; construction was underway as of July 2020.,,residential
85,Americas Tower,210.9,48,40.75714111,-73.98287964,completed,1992,1988,Also known as 1177 Avenue of the Americas.,steel,office
86,Solow Building,210,49,40.76382065,-73.97489166,completed,1974,1968,,steel,residential
87,HSBC Bank Building (140 Broadway),209.7,52,40.7085495,-74.01010895,completed,1967,1975,"Also known as Marine Midland Building, HSBC Bank Building.",steel,office
88,55 Water Street,209.4,53,40.70294189,-74.00940704,completed,1972,1969,,steel,office
89,277 Park Avenue,209.4,50,40.75540924,-73.97457123,completed,1963,1958,,steel,office
90,The Beekman Hotel & Residences (5 Beekman Street),209.4,47,40.71133041,-74.00679016,completed,2016,2014,Also known as The Beekman Hotel & Residences.,composite,hybrid
91,Morgan Stanley Building (1585 Broadway),209,42,40.760386,-73.985678,completed,1989,1987,Also known as 1585 Broadway. It houses the Morgan Stanley World Headquarters.,,office
92,Penguin Random House Tower,208.5,52,40.76530838,-73.98256683,completed,2003,2000,,steel,office
93,Four Seasons Hotel New York,207.9,52,40.76232147,-73.97129059,completed,1993,1990,,concrete,hotel
94,Sky (605 West 42nd Street),206,61,40.76124954,-73.99848175,completed,2015,2008,"Also known as 605 West 42nd Street and Atelier II. Largest single tower residence in New York City. Sky comprises 1,175 luxury units and includes more than 70,000 sq ft of amenity space.",concrete,residential
95,1221 Avenue of the Americas,205.4,51,40.75934982,-73.98213196,completed,1972,1968,Formerly known as the McGraw-Hill Building.,steel,office
96,One Grand Central Place,205.1,53,40.75207138,-73.97875977,completed,1930,1926,Formerly known as the Lincoln Building.,steel,office
97,One Court Square,205.1,50,40.74700165,-73.94403076,completed,1990,1986,Tallest building in the Borough of Queens from 1990 to 2021. Formerly known as the Citigroup Building.,steel,office
98,Barclay Tower,205.1,56,40.71220016,-74.00920105,completed,2007,2005,,concrete,residential
99,277 Fifth Avenue,205,55,40.745661,-73.986275,completed,2018,2014,Topped out in March 2018.,,residential
100,Paramount Plaza,204.2,48,40.76203156,-73.98451996,completed,1970,1966,Formerly the Uris Building.,steel,office
101,161 Maiden Lane*,204,60,40.705533,-74.004779,on hold,,,Also known as One Seaport. Topped out in August 2018.,,residential
102,200 Amsterdam Avenue,204,55,40.7768,-73.9833,completed,2021,2017,Tallest building on the Upper West Side; topped-out in August 2019.,,residential
103,45 Park Place*,203,43,40.713611,-74.01,on hold,,,Topped out by October 2019.,,residential
104,Trump Tower,202.4,58,40.7623291,-73.97396088,completed,1982,1980,,concrete,residential
105,599 Lexington Avenue,199.5,51,40.75778961,-73.97074127,completed,1986,1982,It was formerly called Bank of New York Building and Irving Trust Building.,steel,office
106,One Wall Street,199.3,50,40.70738983,-74.0116272,completed,1932,1929, ,steel,office
107,Silver Towers East,199.2,58,40.76068878,-73.99886322,completed,2009,2007,Also known as River Place.,concrete,residential
108,Silver Towers West,199.2,58,40.76073074,-73.99949646,completed,2009,2007,Also known as River Place.,concrete,residential
109,712 5th Avenue,198.1,53,40.76221848,-73.97502136,completed,1990,1988,,steel,residential
